RatingID,Rating,MovieKey,UserKey,DateKey
1,4.0,1,1,20000730
2,4.0,3,1,20000730
3,4.0,6,1,20000730
4,5.0,44,1,20000730
5,5.0,47,1,20000730
6,3.0,63,1,20000730
7,5.0,90,1,20000730
8,4.0,98,1,20000730
9,5.0,125,1,20000730
10,5.0,131,1,20000730
11,5.0,137,1,20000730
12,5.0,185,1,20000730
13,3.0,191,1,20000730
14,5.0,198,1,20000730
15,4.0,202,1,20000730
16,5.0,225,1,20000730
17,3.0,258,1,20000730
18,3.0,276,1,20000730
19,5.0,292,1,20000730
20,4.0,308,1,20000730
21,4.0,315,1,20000730
22,5.0,321,1,20000730
23,4.0,326,1,20000730
24,3.0,368,1,20000730
25,4.0,385,1,20000730
26,5.0,399,1,20000730
27,4.0,419,1,20000730
28,3.0,437,1,20000730
29,5.0,462,1,20000730
30,4.0,477,1,20000730
31,4.0,485,1,20000730
32,5.0,486,1,20000730
33,4.0,509,1,20000730
34,4.0,510,1,20000730
35,4.0,511,1,20000730
36,5.0,514,1,20000730
37,5.0,521,1,20000730
38,3.0,547,1,20000730
39,5.0,552,1,20000730
40,3.0,560,1,20000730
41,4.0,593,1,20000730
42,3.0,595,1,20000730
43,3.0,616,1,20000730
44,4.0,633,1,20000730
45,5.0,702,1,20000730
46,5.0,706,1,20000730
47,5.0,721,1,20000730
48,4.0,724,1,20000730
49,5.0,735,1,20000730
50,3.0,768,1,20000730
51,5.0,782,1,20000730
52,5.0,783,1,20000730
53,5.0,784,1,20000730
54,5.0,787,1,20000730
55,3.0,788,1,20000730
56,5.0,789,1,20000730
57,5.0,790,1,20000730
58,4.0,798,1,20000730
59,5.0,802,1,20000730
60,4.0,811,1,20000730
61,5.0,816,1,20000730
62,5.0,821,1,20000730
63,5.0,829,1,20000730
64,4.0,830,1,20000730
65,5.0,832,1,20000730
66,5.0,837,1,20000730
67,4.0,857,1,20000730
68,5.0,864,1,20000730
69,5.0,899,1,20000730
70,5.0,900,1,20000730
71,5.0,901,1,20000730
72,5.0,908,1,20000730
73,4.0,910,1,20000730
74,5.0,912,1,20000730
75,5.0,915,1,20000730
76,4.0,916,1,20000730
77,2.0,921,1,20000730
78,5.0,922,1,20000730
79,5.0,924,1,20000730
80,5.0,926,1,20000730
81,5.0,928,1,20000730
82,5.0,940,1,20000730
83,5.0,956,1,20000730
84,3.0,958,1,20000730
85,4.0,965,1,20000730
86,5.0,970,1,20000730
87,5.0,975,1,20000730
88,5.0,978,1,20000730
89,5.0,982,1,20000730
90,5.0,991,1,20000730
91,5.0,997,1,20000730
92,4.0,1037,1,20000730
93,3.0,1061,1,20000730
94,3.0,1077,1,20000730
95,3.0,1085,1,20000730
96,3.0,1111,1,20000730
97,4.0,1127,1,20000730
98,4.0,1147,1,20000730
99,5.0,1155,1,20000730
100,4.0,1172,1,20000730
101,5.0,1182,1,20000730
102,3.0,1184,1,20000730
103,5.0,1191,1,20000730
104,5.0,1219,1,20000730
105,4.0,1221,1,20000730
106,5.0,1225,1,20000730
107,3.0,1236,1,20000730
108,3.0,1262,1,20000730
109,5.0,1299,1,20000730
110,4.0,1320,1,20000730
111,4.0,1327,1,20000730
112,5.0,1333,1,20000730
113,4.0,1334,1,20000730
114,4.0,1402,1,20000730
115,5.0,1408,1,20000730
116,5.0,1432,1,20000730
117,4.0,1445,1,20000730
118,4.0,1476,1,20000730
119,5.0,1481,1,20000730
120,4.0,1488,1,20000730
121,5.0,1494,1,20000730
122,4.0,1504,1,20000730
123,5.0,1506,1,20000730
124,4.0,1517,1,20000730
125,5.0,1518,1,20000730
126,4.0,1523,1,20000730
127,5.0,1527,1,20000730
